Day number,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
353,14.9,15.7,16.4,4.11,12.1,24.7,17.7,0,32.4,39.1,,29.6,14.7,25.9,22.1
354,15.1,14.1,16,4.18,11.5,15,18.4,0,31.5,20.2,,16.2,15,25.9,24.9
355,14.7,13.6,14,4.08,11.8,13.5,18.4,0,31.6,15.3,,13.8,18.5,26.3,22.8
356,14.5,12.2,14.1,4.11,11.5,13.9,17.9,0,31.3,17.3,,14.5,21.6,26.6,20.1
357,14.3,12,15.3,4.26,11.9,13.1,18.3,0,32.7,17.4,,14.1,21.9,26.6,20.9
358,14.1,11.8,13.6,4.38,12.4,12.3,17.5,0,30.3,16.7,,14.2,21,26.2,22.2
359,14.4,13.7,14.2,4.48,11.3,11.9,26.3,0,36,16.1,,14.6,20.2,16.5,21.8
360,14.1,14.7,13.5,4.55,11.3,12.4,34.2,13.5,39.6,12.9,,14,20.9,0.9330000000000001,19.6
361,14.2,15.4,13.9,10.7,10.8,10,33.9,29.2,38.3,16.9,,14.2,19.5,12.8,18.8
362,14.2,11.8,15.8,13.1,10.5,9.44,34.6,26.4,40.3,13.8,,14.2,17.4,12.8,20.5
363,13.1,14,15.8,13.1,11.6,9.54,35.6,18.3,42.4,2.21,,13.2,17.2,12.8,26.8
364,13.8,14,16.1,13.4,11.5,9.88,35.3,12.7,20,10.2,,14.1,16.3,20.8,31.4
365,13.5,13.4,16.5,14.2,14.4,10.1,35.5,11.7,0,16.4,,14.4,14.6,26.4,31.5
366,13.8,,,,13.1,,,,0,,,,14.2,,
,,,,,,,,,,,,,,,
