,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
22,4.71,6.14,3.44,2.95,5.75,3.73,4.57,3.89,4.28,5.45,4.04,3.04,3.24,3.75,3.08
23,4.71,6.14,3.5,2.96,5.52,3.69,4.62,3.89,4.3,5.25,4.36,3.04,3.2,3.8,3.1
24,4.71,6.14,3.47,3.05,5.59,3.65,4.62,3.96,4.31,4.58,4.03,3.04,3.21,3.87,3.13
25,4.7,6.14,3.56,3.06,5.83,3.68,4.66,4.2,4.3,4.45,3.65,3.04,3.25,3.87,3.13
26,4.61,6.12,3.57,3.09,5.74,3.81,4.58,3.93,4.27,4.66,3.65,3.04,3.25,3.85,3.13
27,4.6,5.82,3.51,3.13,5.8,3.57,4.61,3.86,4.26,4.66,3.66,3.04,3.25,3.82,3.07
28,4.56,5.79,3.5,3.13,4.55,3.75,4.68,3.9,4.28,4.66,3.74,2.8,3.39,3.78,3.16
29,4.52,5.79,3.5,3.04,4.08,3.77,4.69,3.93,4.3,4.66,3.66,2.58,3.59,3.8,3.42
30,4.52,5.79,3.45,3,4.12,3.81,4.69,3.96,4.28,4.68,3.65,2.58,3.63,3.89,3.59
31,4.52,5.79,3.44,3.03,3.92,3.69,4.66,4.15,4.28,5.2,3.65,2.58,3.72,3.93,3.56
32,4.52,5.79,3.47,3.01,4.09,3.72,4.74,4.17,4.22,5.27,3.65,2.75,3.82,3.98,3.5
33,4.52,5.79,3.5,3.05,4.07,3.81,4.78,4.18,4.09,5.06,3.41,2.9,3.82,4,3.35
34,4.52,5.79,3.5,3.06,4.54,3.81,4.78,4.14,3.96,4.97,3.12,2.9,3.84,4,3.39
35,4.52,5.79,3.44,2.95,4.41,3.85,4.87,4.1,3.92,5.06,3.12,2.9,3.85,3.98,3.32
36,4.52,5.79,3.45,3.01,4.37,3.78,5.06,4.17,3.99,5.06,3.14,2.9,3.85,4.06,3.34
37,4.52,5.79,3.53,3.05,4.2,3.68,5.26,4.26,4.04,5.06,2.98,2.9,3.85,3.83,3.26
38,4.52,5.79,3.26,3.07,4.13,3.73,5.26,4.26,4.02,5.06,2.98,2.9,3.85,3.61,3.24
39,4.52,5.79,3.19,3.02,4.15,3.67,5.34,4.26,4.02,5.06,3.05,2.9,3.86,3.61,3.22
40,4.52,5.83,3.02,3.08,4.05,3.76,5.37,4.23,4.02,5.06,3.23,2.9,3.96,3.66,3.21
41,4.45,6.42,2.97,3.1,4.12,3.76,5.19,4.24,4.02,5.06,3.34,2.91,3.95,3.74,3.21
42,4.4,6.49,3.04,3.1,4.11,3.6,5.26,4.33,3.96,4.85,3.34,2.92,3.95,3.81,3.21
43,4.4,6.49,3.01,3.1,4.26,3.65,5.31,4.34,3.95,4.32,3.09,2.92,3.95,3.82,3.21
44,4.4,6.49,3,3.04,4.27,3.59,5.41,4.38,3.95,4.28,2.8,2.92,3.74,3.81,3.22
