,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
70,4.45,5.95,4.19,3.52,5.6,5.2,5.22,4.85,4.5,5.41,4.77
71,4.48,6.3,4.49,3.36,6.44,5.2,5.18,5.2,4.73,5.45,4.64
72,4.48,6.49,4.38,3.3,5.46,5.58,5.21,5.31,4.97,5.45,4.92
73,4.38,6.49,3.99,3.5,5.44,5.69,4.97,5.34,4.83,5.45,4.71
74,4.45,6.65,3.93,3.65,5.4,6.68,5.16,5.27,5,5.45,4.74
75,4.52,7.04,3.91,3.8,6.57,6.76,5.17,5.34,5.16,5.45,4.81
76,4.45,7.2,4.18,3.62,6.49,5.92,5.16,5.28,5.96,5.94,4.72
77,4.48,7.2,4.31,3.41,7.08,5.84,5.23,5.35,7.14,6.57,4.83
78,4.62,7.36,4.32,3.75,7.64,5.47,4.91,5.37,6.81,7.04,4.95
79,5.46,7.56,4.26,3.98,7.23,6.05,5.09,5.31,7.53,7.17,5.87
80,5.84,7.56,3.77,3.92,7.17,6.36,5.16,5.55,7.45,7.13,5.82
81,5.96,7.72,5.13,3.94,7.36,5.97,5.14,6.37,6.26,6.83,6.22
82,5.95,7.91,6.19,3.89,7.18,5.46,5.14,6.69,5.86,6.83,6.12
83,5.95,7.91,7,4.41,7.32,5.56,5.13,6.72,6.36,6.69,6.05
84,5.96,8.07,7.66,5.29,7.64,5.56,5.05,6.67,6.54,6.94,5.77
85,5.96,8.26,8.44,5.21,7.73,6,5.17,6.26,6.39,8.35,5.6
86,6.24,8.26,8.37,4.75,7.49,5.63,5.21,6.33,6.6,8.89,5.59
87,6.61,8.26,7.95,5.47,6.87,5.48,5.31,6.47,6.86,8.08,5.51
88,4.42,8.41,7.51,6.64,6.66,5.7,5.31,7.3,6.15,7.72,5.76
89,4.87,8.44,7.84,10.2,6.48,5.95,5.96,8.68,5.54,7.81,5.23
90,13.8,8.47,8.41,10.1,6.24,6.83,6.09,9.75,5.12,7,5.18
91,19.4,8.43,8.58,6.36,6.21,7.06,5.98,10.9,5.24,6.43,5.39
92,13.1,8.59,8.53,5.6,6.21,7.3,7.01,9.88,4.96,6.86,5.14
93,10.4,8.34,9.6,6.01,6.81,7.37,7.39,10.6,5.58,6.12,5.23
94,9.91,8.26,6.74,6.07,9.95,6.86,6.93,8.63,5.68,6.41,5.37
95,9.06,8.26,5.2,7.99,14.6,8.02,6.69,7.08,5.51,6.41,5.85
96,8.72,8.25,4.96,8.14,15.6,8.91,6.51,8.15,6.38,8,5.34
97,7.82,7.95,5.01,6.29,10.4,11.6,7.01,9.06,12.9,10.6,6.25
98,7.17,7.91,5.13,6.72,7.57,11.1,8.22,8.36,19.4,13.9,8.12
99,7.46,7.91,5.15,6.29,7.96,6.53,9.51,8.53,19,13.5,7.98
100,7.83,7.91,4.97,6.37,8.83,6.65,13,9.62,19.8,13.1,7.68
101,8.15,8.06,4.49,4.89,11.9,4.62,13,10.4,15.5,17,6.72
102,8.37,8.56,4.72,4.85,13.5,4.48,6.77,10,11.5,15.8,6.6
103,8.63,8.82,5.11,4.32,8.36,5.1,6.14,9.62,6.94,16.3,6.68
104,9.86,9.3,5.39,4.9,6.42,5.23,5.94,8.61,8.94,17.1,6.57
105,9.61,9.94,4.49,5.75,6.24,6.06,5.52,8.07,9.4,16.9,6.95
106,8.67,10.1,4.26,10.3,6.68,9.45,6.92,8.51,10.5,20.3,6.98
107,9.55,10.4,4.18,12.3,7.58,7.2,8.02,7.27,13.1,22,9.99
108,13.3,10.3,3.99,7.35,9.93,8.07,9.59,9.93,19.8,17.8,9.86
109,13.3,9.85,4.22,10.3,13,8.75,14.7,14.8,23.6,13.7,8.74
110,11.8,10.1,5.76,13.8,18.8,17.5,24.1,12.1,22.8,11.9,8.57
111,8.13,10.5,5.44,12.8,20.1,39.4,19.2,11.6,29.5,11.7,7.12
112,10.3,11.9,5.85,7.19,23,37.5,16.1,10.1,10.3,13.9,6.45
113,13.1,11.5,5.98,6.61,19.3,24.8,15.8,14.4,9.07,12.3,6.57
114,13.5,10.4,6.22,5.38,22.2,23.2,16.4,16,9.34,15.2,6.91
115,11.7,9.63,7.48,6.21,30.5,29.8,14.5,13.4,16.8,12.1,6.56
116,9.37,10.1,10.2,10.5,22.7,37.4,12.2,9.67,23.8,10.3,6.42
117,7.49,10.4,9.98,8.79,12.3,37,8.96,11,26.7,11.8,7.36
118,7.87,10.8,6.62,10.2,21.8,32.3,8.07,8.19,23.7,8.29,8.97
119,7.31,10.7,6.25,7.12,24.5,26.4,16.3,10.2,27.1,8.16,12.1
120,6.55,10.5,5.68,9.1,20.9,24.6,25.8,15.1,28.7,10.7,10.6
121,7.07,10.3,6.15,17.1,16.4,20.2,25.7,26.4,27.7,8.14,14.4
122,8.46,10.6,7.59,17.2,16.8,22.5,25.7,28.4,27.9,7.95,21.5
123,10.7,9.93,6.46,13.5,6.97,23.5,21.5,16.6,29.2,7.18,17.6
124,12.4,10.3,5.72,12.3,5.61,20.3,18.3,15.9,28.1,9.38,20.5
125,14.4,10.7,5.71,11.5,5.84,14.9,15.7,23.2,26.6,10.8,9.59
126,15.1,10.7,6.44,6.55,6.82,16.4,16.9,24.8,29,11.5,7.13
127,16.7,9.05,9.94,6.23,7.43,16.1,15.4,22.4,25.4,12.2,8.43
128,15.8,8.52,11.2,5.76,6.14,17.8,15.6,28.4,19.4,13.4,13.3
129,13,8.47,11.8,6.44,9.89,16.5,17.3,32.4,21.6,12.7,16.1
130,12.9,9.97,12.8,9.95,13.5,15.4,11.6,27.1,22.4,9.96,12.7
131,14.8,11,13.6,14.7,12.7,17.1,14.4,14.8,20.1,7.46,7.6
132,14.3,10.9,13.7,16.7,9.56,16.1,9.9,14.4,18.8,10,6.93
133,16.7,12.9,19.6,14.7,16.8,8.94,7.47,16.9,18.3,10.5,9.48
134,17.6,12,19.6,13.8,13.5,9.29,6.54,19.4,19.8,10.9,8.39
135,17.7,10.4,25.3,12.7,12.1,10.6,7.25,12.6,18.6,11,12.7
136,16.6,8.94,25.2,16.7,11.6,13,7.14,12.1,16.5,9.75,12.5
137,12.8,10.5,23,21.9,12.5,9.99,6.82,14.8,18,8.43,11.3
138,12.4,9.6,17.9,17.7,16.2,7.8,6.98,19.7,17.6,8.33,9.81
139,11.5,9.88,16.5,16.3,15.7,7.8,13,20.2,11.8,8.37,11.9
