,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
70,3.67,2.48,4.29,4.38,6.87,5.25,4.08,9.7,9.31,9.22,9.35
71,4,2.46,4.77,5.08,6.97,5.1,4.21,9.71,9.34,8.97,9.35
72,4.33,2.45,5.26,5.77,7.3,5.21,4.35,8.6,9.41,8.84,9.52
73,4.66,2.43,5.74,6.46,7.69,5.37,4.48,8.07,9.43,9.27,9.43
74,4.99,2.41,6.23,7.09,8.08,5.54,4.59,9.19,9.49,9.64,9.47
75,5.32,2.4,6.73,7.11,8.47,5.7,4.54,9.8,9.65,9.8,9.55
76,5.65,2.44,7.29,6.98,8.9,5.87,4.45,9.06,9.45,9.96,9.51
77,5.98,2.49,7.85,6.84,9.74,6.05,4.36,8.45,10,9.99,9.72
78,6.31,2.54,8.42,6.71,10.7,6.24,4.27,9.31,10.2,10.2,9.68
79,6.64,2.59,8.98,6.59,11.6,6.43,4.22,9.32,10.7,10.2,10.1
80,6.95,2.64,9.54,6.73,12.6,6.62,4.46,9.78,10.3,10.5,10.7
81,7.13,2.68,10.1,6.95,13.4,6.8,4.74,10.5,8.8,10.8,11.1
82,7.28,2.61,10.7,7.16,13,6.85,5.03,10.5,9.66,10.9,10.6
83,7.42,2.52,11.1,7.37,12.4,6.86,5.31,9.58,9.15,11.2,9.68
84,7.57,2.44,10.7,7.67,11.8,6.88,5.56,9.8,9.89,11.4,10.9
85,7.72,2.35,9.96,8.84,11.1,6.89,5.55,8.68,10.3,11.9,10.7
86,7.87,2.26,9.22,10.3,10.5,6.96,5.48,10.2,11,12.5,10.6
87,8.01,2.26,8.63,11.7,9.85,7.53,5.36,10,10.3,12.2,10.8
88,8.16,2.89,9.29,13.1,9.57,8.21,5.22,11.8,10.9,12.2,9.98
89,8.31,3.67,10.3,14.4,9.41,8.88,5.13,14.5,10.9,12.4,9.7
90,8.46,4.44,11.2,14.2,9.24,9.55,5.34,17.6,9.72,13.6,10.2
91,8.64,5.22,11.5,13.8,9.26,10.2,5.62,19,9.38,11.7,10.9
92,9.11,5.99,11.6,13.3,11.1,11.2,5.89,15.8,9.25,11.4,11.2
93,9.64,6.69,11.6,12.8,13.3,12,6.16,16.3,10.1,11.8,10.9
94,10.2,6.52,11.7,12.3,15.4,11.4,6.43,13.5,11.1,11.3,10.2
95,10.7,6.1,11.8,11.8,14.9,10.4,6.58,9.85,10.8,12.7,10.8
96,11.3,6.06,11.8,10.8,13.6,9.07,6.71,13.9,11,13.8,11
97,11.8,6.09,11.3,9.61,12.3,8.74,6.83,13.1,13.3,14.2,11.2
98,12.3,5.97,10.8,8.46,12.4,9.1,7.25,12.9,16.3,16.4,11.3
99,12.8,5.84,11.5,7.31,13,8.76,9.33,13.7,17.4,16.3,11.3
100,12.8,5.93,12.1,6.29,13.4,9.31,11.6,13.3,18.1,15.3,11.2
101,12.7,8.86,9.85,6.67,12.6,8.54,12,15.9,16.9,17.8,11.4
102,12.6,10.5,10.6,7.38,11.4,8.56,9.96,15.2,15.6,19.7,11.4
103,12.5,10.5,12.9,8.09,10.2,8.67,11.3,15.5,14,20.4,11.6
104,12.4,12.5,12.8,8.85,8.98,8.99,9.5,16,14.8,21.1,11
105,12.3,17.3,9.89,12.3,8.15,9.01,9.34,14.5,15,18.1,10.9
106,12.1,17.5,9.41,18.1,9.96,9.21,10.4,14.5,16,21.2,11.3
107,12,17.4,10.4,19.4,11,9.08,12.2,11.8,15.7,24.2,12.4
108,11.9,17.9,11.2,13.4,12.9,9.02,12.3,15.2,18.4,19.2,14.5
109,11.8,18.3,11.3,16.1,15.3,8.52,14.5,19.6,20.1,17.9,14.6
110,11.7,17.2,13.1,18.8,17.4,10.4,16.7,13.6,19,16.3,13
111,11.6,19.5,13.9,19.8,21.2,18.9,17.4,16.7,18.2,17,12.6
112,11.4,17.1,16.2,15,25.1,21.2,16.8,15.9,13.8,17.9,11.6
113,11.4,12.3,16.7,12.5,20.1,16.9,14.9,15.5,13.9,17.2,12.2
114,12.1,12.2,16.6,10.4,23.8,15.2,14.9,15.2,14.7,14.6,12.7
115,12,12.2,15.3,13,29.5,18.2,13.3,15.3,15.7,16.5,11.3
116,11.8,14.2,17.2,16.3,27,21.6,12.2,16,18.9,16.2,10.5
117,13.1,13.6,18.7,14.9,17.7,23,11.8,14.9,20,17.4,11.2
118,13.6,13,14.6,14,22.7,23.7,10.4,13.2,18.4,16.1,14.4
