Day number,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
82,16.8,18.9,15.8,15.9,23.1,17.7,17.8,35.8,18.2,28.9
83,17.8,18.9,14.5,16.9,24.6,19.1,30.6,45.3,21.5,29.6
84,18.3,18.7,18.9,20,23.7,22.2,30.4,45.1,20.6,30.4
85,18.5,18.6,20,17.8,21.9,21.9,32.9,45.2,21.7,33
86,17.6,16.4,22.5,22,24.2,21.8,32.9,31.2,19.8,36.5
87,18.7,15.8,21.9,22.1,27.3,22.2,32.7,11.1,26.2,54.6
88,21.5,15.8,25.2,20.2,27,18.5,32.7,0,26.9,27.6
89,25.6,16.3,21.9,25.2,27.2,23.8,32.5,7.19,27.2,0
90,34.8,16.1,17.8,33.1,28.5,27.4,29.3,17.1,29.4,0
91,45.1,20.4,17.4,38.3,23.9,24.3,20,26.2,32.4,1.36
92,47.1,23.1,16.4,17,10.2,21.5,18.6,43.7,31.9,8.3
93,46.8,22.1,22.1,21.6,12.3,24.6,22.5,44.8,28.5,8.38
94,45.4,18.2,25.5,25.7,24.9,24.5,28.2,42,30.3,11.1
95,32.2,18.3,22.6,28.8,34.4,23.1,31.5,34.1,31.5,10.8
96,21.3,20.4,21.3,29,34.7,23.4,30.1,30,32.2,10.4
97,21.1,20.4,25.6,26.5,40.5,20.9,25,24.7,31.1,15.9
98,20.1,20,24.2,25.4,29.6,22.2,17.1,25.5,31.7,25
99,21.5,18.3,23.2,25.5,23.2,32.8,14,25.8,32,36.4
100,19.8,14.7,22.7,22.2,26.9,28.1,20.9,27.1,32.4,34.8
101,20.3,14.3,20.6,16.3,31.2,27.3,31,29.4,32.1,30.7
102,22.2,17.2,18.7,23.2,39.9,27.1,32.4,30.9,43.2,31.8
103,23.5,20.5,20.5,19.3,39.8,24.2,25.9,31.4,62.8,42.6
104,22,20.5,22.2,17.9,31.8,26.2,25.2,29.8,58,53.7
105,18.8,21.7,21.7,20.7,26.3,23.1,20.2,30.1,54.9,53.2
106,18.1,26.2,17.8,30,27.4,19.6,16.1,33.5,35,40.4
107,26.6,25.1,18.7,40,27,22,6.03,32.9,18.3,33.4
108,41.5,27.2,20.1,36,24.7,24.7,0,33.6,18.3,60.9
109,37.3,32.2,18.7,35.3,27.4,21.3,30.4,40.4,18.8,60.6
110,27.8,32.6,21.7,51.5,36.3,22,38.1,52.5,18.8,59.8
111,25.5,32.7,25.7,54.9,42.6,22,61.1,19,43.5,32.8
112,26.2,26.4,21.1,36.3,58.8,52.9,61.4,35.2,65.8,33
113,28.2,30.4,30.9,26,52.5,86.1,61.4,34.2,48.2,32.1
114,35.4,24.5,36.1,24.5,48.2,59.6,46.3,40.6,40.8,31.8
115,30.3,21.4,33.7,12,65.2,48.3,28.1,59.2,26.2,32.4
116,25.7,23.1,26.9,10,75,59.4,28.6,48,21.8,32.2
117,26.4,24.8,33.1,29.2,53.2,78.7,27,43.9,17.8,32.4
118,31.9,23.4,32,30.1,43.1,82.8,26.8,55.3,33.4,31.5
119,30.9,26.1,30.8,28.4,60.3,66.8,20.5,53.6,57,32.2
120,23.8,24.2,25.9,25.5,66.9,54.5,18.8,44.3,58.2,51
121,23.9,23.8,30.8,38.2,55.5,54.7,46.6,33.7,60.7,63.4
122,27.8,23.4,36.1,47.6,45.1,55.4,37.3,44.9,60.5,42.4
123,28.9,23.7,22.1,46.2,46.7,57.2,34,54.4,63.2,31.5
124,32.9,26.5,14.9,45.9,27.9,56.9,71.8,56.6,62.3,29.4
125,35.7,28,20.4,41.1,23.7,50.4,73.2,53.6,71.5,30.6
126,30.5,29.5,23.8,34.2,22.4,41.6,59.8,53.9,83.7,30.8
127,34.1,27,18.9,25.1,25.2,38.4,46.9,55.8,65.3,32.1
128,33.3,22.3,24.2,22.5,28.4,41.5,29.1,57,71.1,32.2
129,30.9,22,25.7,23.1,25.4,43.5,15.5,76.1,69.7,33.9
130,29.3,24,28.3,23.2,32.2,43.5,29.3,103,74.1,52.4
131,29.9,25.3,31.6,30.1,41.4,44.9,62.3,94.6,76.9,52.7
132,27.7,23.1,34.2,38.6,37.8,45.2,22.5,63.3,76.8,53.4
133,29.3,29.7,33.6,39.2,31.8,37.4,19.4,54.4,25.5,51.7
134,37.3,28.6,47.7,35.4,41.2,28,26.2,47.2,0,45
135,38.9,26.9,49.6,32.8,35,40.8,26.3,47.8,0.172,29.2
136,37.8,22.6,59.3,32.6,31.3,37,29,49,30.8,31.4
137,30.7,21.1,59.1,45.8,30.4,36.2,30,49.2,64.9,31.2
138,27.9,22.7,44.9,46.5,30.2,30.4,29.5,48.6,74.4,36.8
139,28.3,22.3,40.3,41.5,33.5,30.6,29.8,48,71.3,42.2
140,26.5,23.8,43.1,42.9,36.7,28.3,28.3,62.7,63.3,31.2
141,25.8,26.9,29.3,40,58.4,31.1,27.8,86.6,70.7,31
142,27.8,35.3,30.3,37.8,56.3,35.7,27.9,83.9,81,29.4
143,28.8,32,32,36.7,53.3,32.6,27.6,83.5,65.9,28.3
144,27.8,28.7,48.3,35.4,46.6,40.6,27.2,78.3,68.5,30.8
145,27.2,29.2,46.6,55.9,55.3,40.7,36.5,63,64.4,31.1
146,27.4,23.9,47.6,44.6,71.7,48.6,39.1,54.3,66.2,45.7
147,29.3,25.9,46.9,49.9,73.8,56.4,31,45.1,86.3,75
148,26.7,28.2,47.2,69.5,77.5,63.7,30.3,43.4,78.1,102
149,31.1,26.5,48.8,78.5,92.8,62.3,29.8,50.9,39.4,98
150,32.1,22.2,61.9,67.7,90.9,78.3,29,102,27.6,75.2
151,41.5,22.8,88.5,86.4,71.1,73.1,29.5,92.1,33.4,74.3
152,45.7,29.5,99.4,78.2,79.8,72.5,30.7,80.9,42.2,69.1
153,45.1,33.3,76.6,65.9,81,83.3,37,62.1,31.1,55.8
154,50.7,33.1,67.4,65.6,94.3,62.4,51,55.9,32.9,44.4
155,79.6,31.1,80.1,58,78,53.3,64.5,55.6,32.3,35.9
156,81.2,36.9,106,44.5,68.2,56,85.3,48.9,33.8,30.7
157,76,36.3,129,42.2,65,50.2,90.5,48.5,33.8,30.7
158,169,37.7,153,44.3,59.7,50,93.3,46.9,52.2,31
159,168,41.1,225,49.7,48.2,37.6,80.9,47.2,57.5,31.4
160,92.8,41.8,161,63.9,55.3,49.2,70.1,46.8,54,34.4
161,59.7,42.9,121,62.7,64.2,49.6,43,47.7,53.6,37.7
162,61.1,51,92.6,58.3,65.1,51.7,58.7,62.5,55.7,40.5
163,51.5,51.6,97.8,48.7,79.9,57.2,54.5,103,49.1,40.4
164,48.2,45.7,84.9,41.5,96.7,53.9,59.6,106,37.8,40.8
165,95.8,44.5,79.8,42,115,56.4,55,124,52.8,40.2
166,159,39.1,80.7,42.1,96.5,55.8,52.1,132,55.3,40
167,95.7,71.5,73.7,41.7,83.5,53.2,46.9,140,60.8,53.9
168,65.3,41.5,110,39.8,74.9,49.8,46.3,140,63.1,91.6
169,64.6,27.3,161,48.9,66.8,57.3,47.2,139,61.7,148
170,67.1,27.9,113,63.8,64.5,70.1,40.6,139,65.8,170
171,57.4,36.9,117,59.1,57.5,76.5,36.5,138,73.5,137
172,49.3,35,119,51.3,54.2,64,39,134,64.9,138
173,44.9,31.5,124,57,51.9,60.5,44.6,110,77.6,136
174,47.3,29.4,105,105,62.4,89.9,63.9,71.9,101,135
175,66.5,28,79.3,118,61.2,104,58.8,82.1,100,133
176,119,27.1,72.8,196,52.7,102,64.7,96.6,94.8,109
177,147,26.6,83.7,211,52.3,105,49.1,90.8,95.4,121
178,140,40.1,99.2,140,64.9,108,49.4,80,67.4,122
179,209,58,77.8,94.5,72.4,211,56.6,128,49.2,110
180,288,85.5,75.3,87.5,86.2,149,81.2,117,48.5,105
181,172,69.7,100,92.6,134,118,89.5,104,52.5,67
182,96.6,44,87.2,92.1,188,180,68.3,129,54.6,51.7
183,74.8,40.4,73.2,75.2,76.2,210,63.8,130,51,37.2
184,88.9,33.5,69.6,77.1,74.3,256,61.8,132,50.9,79
185,188,26.7,63.5,73.3,93.5,138,76.9,132,68.2,61.5
186,110,29.2,61.7,97.7,77.1,177,85.3,157,94.1,60.3
187,86.5,45.8,61,88.4,59.2,136,106,168,95.9,60.1
188,73.8,95.6,65.9,79.5,54.6,143,121,166,84.8,107
189,142,130,97.7,68.5,53.8,142,234,145,61.3,131
190,146,158,162,70.8,79.2,149,153,135,56.5,127
191,86.2,111,499,89.4,81.1,176,243,133,56.2,121
192,70.8,72.3,335,93.6,120,145,156,132,79.6,134
193,61.8,52.5,182,89.1,108,128,131,132,132,135
194,57.2,48,503,95.5,120,126,132,135,137,138
195,55.2,46.7,277,103,88.5,115,114,132,130,136
196,52.2,48.2,268,80.2,70.7,93.2,94.6,133,131,175
197,49.7,49.2,274,104,50.7,97.9,92.2,131,133,264
198,49,80.3,207,119,73.5,125,95.1,133,128,211
199,55,174,159,87.4,57.4,116,134,139,119,137
200,71.9,187,136,84.7,86.2,86.9,136,174,116,133
201,102,124,117,98.8,70.8,119,217,430,120,134
202,75.2,110,113,86.5,49.6,117,343,317,105,126
203,70.2,81.3,107,87.9,63.7,93.3,456,191,83.9,137
204,66.4,68.3,88.7,83.9,57.8,86.4,240,134,76.5,132
205,72.9,75.6,79.1,79.8,72.6,104,149,134,71.6,136
206,83.1,88.3,69.5,79.8,65.7,108,131,134,100,130
207,82.1,155,71,156,146,85.1,130,134,136,138
208,88.2,182,70,168,68.6,112,122,131,139,132
209,123,127,53.8,126,71.5,117,115,122,235,124
210,175,104,61.7,197,73,125,120,121,360,126
211,183,82.6,89.2,290,109,124,105,103,268,115
212,104,65.9,79.7,159,127,124,92.6,65.3,473,86.3
213,78.4,64.5,71.7,137,116,131,92.2,70,489,101
214,76,63.6,78.9,158,85.2,129,95.7,65.1,248,109
215,88,67.4,153,132,89.5,125,93.3,65.2,200,137
216,81,66.4,290,108,79.5,126,75.8,66.2,163,127
217,68.1,74.7,251,102,89.2,107,65.3,125,141,130
218,65.9,90,201,121,73.1,101,65.4,131,128,122
219,98.8,65.1,183,186,163,103,65,131,135,124
220,122,69.2,224,221,206,108,80.9,127,135,139
221,96.6,74.6,157,239,103,86.6,124,130,132,141
222,75.6,58.9,118,275,132,81.1,126,128,151,142
223,63.2,51.6,145,172,115,110,125,127,159,122
224,57,63,151,167,129,167,365,117,149,110
225,53.5,108,139,162,195,140,276,81.1,251,101
226,69.5,81,132,229,110,135,181,67.5,196,108
227,102,66,113,212,113,280,138,65.3,187,90.8
228,92.6,64.4,99.3,153,117,197,129,70.6,162,94.1
229,100,67.5,87.6,133,137,192,204,82.2,165,112
230,133,109,73.4,112,98,189,156,126,137,137
231,104,117,73.3,103,135,155,146,137,132,130
232,81.6,96.9,70.2,96.2,129,145,161,135,131,137
233,74.7,72.9,75.4,163,132,140,147,150,131,143
234,110,71.2,74.7,199,117,133,131,140,109,143
235,145,84.5,66.8,143,75.7,167,126,233,89.2,152
236,134,92.1,66.6,185,62.5,129,126,186,80.8,260
237,108,82.7,67.4,208,70,126,129,186,75.9,358
238,150,72.4,62.4,209,149,127,130,278,69.2,288
239,185,67.8,57.1,156,132,124,130,111,64.2,160
240,131,62.7,57.9,131,110,125,128,121,63.9,168
241,101,55.6,56.2,229,69.9,119,133,123,65.8,187
242,80.7,52.8,53.6,215,79.5,121,153,130,83.6,147
243,74.3,50,54.8,203,71.1,110,147,135,88.3,147
244,68.5,55.1,52.6,200,61.9,87,178,149,78.4,140
245,63.2,75,62.1,169,53.8,87.7,137,134,65.4,141
246,72.5,94.8,65.5,150,66.7,89.9,194,137,59.6,141
247,94.6,96.9,62,159,92.8,91.3,231,134,60.2,138
248,95.2,93.2,61.6,150,109,95,152,130,58.7,193
249,87.2,108,65.7,141,113,89.3,153,128,59.1,269
250,82.4,126,85.7,130,75.5,91.2,138,131,67.9,249
251,77.2,121,81.9,120,73.3,88.3,136,130,79.4,230
252,72.5,107,71.5,111,85.5,74,135,129,78.6,194
253,67.4,117,69.2,101,108,75.1,132,123,82.5,235
254,69.6,99.5,69.1,96.8,94.3,73.1,130,132,107,208
255,74.1,92,74.5,90,92.2,77.4,125,130,127,262
256,82.9,105,78.6,85.1,92.7,89.7,113,147,123,350
257,83.2,123,91.6,81.9,94.3,116,126,155,113,223
258,88.2,132,90.3,77.7,93,130,108,136,112,212
